assignment_candidate_id,subject_type,subject_id,source_place_code,geometry_role_code,geometry_reservation_key,geometry_id,geometry_id_state,effective_from,effective_to,assignment_version,assignment_status,runtime_mode,runtime_effect_scope,publication_status
spatialassign:nngla:daeab413be968a99199c0261c14154c9b222d4bb522a06a3748a7b02d8d1457e,PLACE,NG-PLC-000001,NGP-000001,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000001,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:b9fa25750e9988a79dc39a402d61022ad6e20e1fdb87160b442bd7de985d8a44,PLACE,NG-PLC-000001,NGP-000001,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000001,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:37f528b191e8694d2d5c5c9feb927f7a57da088095d435fafa2c61c06834496f,PLACE,NG-PLC-000002,NGP-000002,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000002,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:c883efe4f41d4f0efa9bfc648d7a2e3bc24e9f490cb9eeab025d1bc91f81e748,PLACE,NG-PLC-000002,NGP-000002,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000002,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:bd0fe071810b6995fd7d2e77a5e049b230f6cfb526019544b83d16830a727656,PLACE,NG-PLC-000003,NGP-000003,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000003,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:e7b99ebfa4be02c4babd63fe11dc519adb1f8447e23baacb96966585f9ae612f,PLACE,NG-PLC-000003,NGP-000003,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000003,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:2ea145f6804a3d5fe54552677739095c692bb1f6f973745c1685085c5bcc48ae,PLACE,NG-PLC-000004,NGP-000004,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000004,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:1bd2eff016d2b0e143bfb8cf64c1184083bc800c2dbcd50f5536e164b9a7e89b,PLACE,NG-PLC-000004,NGP-000004,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000004,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:34a05a78196b68f3cabf826d37d9f46b1a32e167dbb798fa94295f88d30c8990,PLACE,NG-PLC-000005,NGP-000005,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000005,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:0e0683e620288c31119aee7ba9e0ddeb7a4bd1cc4a27cd1d3fd4fa642f3af91b,PLACE,NG-PLC-000005,NGP-000005,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000005,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:718c2453beacc7b0421de97fca802ffcf6e685629815f72d92d18ab84a46ac89,PLACE,NG-PLC-000006,NGP-000006,PLACE_REFERENCE_POINT,p006.7.11.10:place-reference:NG-PLC-000006,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
spatialassign:nngla:9f20538e13de13af533fc04b64de453adfb36ddb169d2eafa948cbd60d012a13,PLACE,NG-PLC-000006,NGP-000006,SETTLEMENT_FOOTPRINT,p006.7.11.10:settlement-footprint:NG-PLC-000006,,PENDING_GOVERNED_LIVE_RESERVATION,2026-08-22,,1,QUALIFIED_PENDING_LIVE_ASSOCIATION,production,SHARED_REFERENCE,NOT_PUBLISHED
