assignment_candidate_id,administrative_area_id,geometry_role_code,geometry_reservation_key,geometry_id,geometry_id_state,assignment_version,effective_from,effective_to,assignment_status,legalization_decision_id,runtime_effect_scope
admgeomassign:nngla:b19e0122b87d6d87e688aede4bf6f3b39bd33304164423da2d1894ae128bf843,NG-ADM-000001,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000001,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:1fe64f638e972f06c2a6d4bef6d33182b4d4f07bc87af497129f52f8a65661ed,SHARED_REFERENCE
admgeomassign:nngla:67b2ba9ec244be27c4e6335635471b5451249f73b4a47cadf46f6e4a9d5fdbe4,NG-ADM-000002,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000002,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:b7f6880dd097601083f69f1460591ad6356e01d99d42b365963362af29811781,SHARED_REFERENCE
admgeomassign:nngla:f99fddd62ea13888f1b6fe95d9b6ec2fb7d136028884fa9b4b922436bccfddd7,NG-ADM-000003,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000003,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:6b9cca8b794c0326b482f5cf7216d85c96fb9832b0db76b3373b53f947367db8,SHARED_REFERENCE
admgeomassign:nngla:787053fadc88e26b5145cbe28a4c82f1ebb0e50d4637ddfb86cf201d19366309,NG-ADM-000004,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000004,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:3721a9305b8f4b95226054d07d8361a8d3288b92163932e87bda0ad198219707,SHARED_REFERENCE
admgeomassign:nngla:3a82b40fa2b77fa586847597cf9912f786f6c8268e5e609b91f8d557ed5d5cf4,NG-ADM-000005,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000005,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:9d69c113f893623e1f0516775e65277770f870cb2a5f8dd1ea68b2f303292f73,SHARED_REFERENCE
admgeomassign:nngla:a023cead4cbe15cf01793065611eb4ff7322934078dfa07cb7cb4b381a88d5d2,NG-ADM-000006,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000006,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:bd5a9e1e5522047ae85d50e79141ab963b023598335fa4a9c97bc8f86a03b361,SHARED_REFERENCE
admgeomassign:nngla:e27894ef2cc26dc3d96664490299de010a0d616a2891f14e47cce9646e2696db,NG-ADM-000007,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000007,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:e87ea85134e1f2bf98a651eeff28305837bdf14003ad2b1cadc22053252f8d13,SHARED_REFERENCE
admgeomassign:nngla:d3fb357b966ecbe511954d233095a9401826ec48637cb27d3ae97e17b2f276e6,NG-ADM-000008,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000008,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:a317f50bdccfb9c126db153540a2e31d030bab0283b616db05c0d6690ca5e18c,SHARED_REFERENCE
admgeomassign:nngla:28e9c6040116b956c97fe87cf37a0926db117e3044f698b4608db379241843f1,NG-ADM-000009,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000009,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:29d6530bccb438e47805b8e2b6e6db8480f35f174881c1454c059057a73015ce,SHARED_REFERENCE
admgeomassign:nngla:8a0def8a0db65654fe7e6c7d5a51a0586b97ba67d2b4ff77e1b2ebf9fb09a3ce,NG-ADM-000010,ADMINISTRATIVE_BOUNDARY,p006.7.11.11:administrative-boundary:NG-ADM-000010,,PENDING_GOVERNED_LIVE_RESERVATION,1,2026-08-22,,QUALIFIED_LEGALIZED_PENDING_LIVE_ASSOCIATION,admlegal:nngla:6a0354a4d833ff7e42c917c6889e2e898bb237b7b5bd353258165e451618609e,SHARED_REFERENCE
