route_candidate_id,route_vertex_sequence,derivation_class,source_anchor_start_id,source_anchor_end_id,source_derivative_id,source_polygon_id,source_derivative_vertex_sequence,interpolation_fraction,derivation_algorithm,source_path_reference,source_sha256
NG-SEA-RT-CAND-000001,1,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000001,NG-MAR-ANCH-000002,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,246,0.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000001,2,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000001,NG-MAR-ANCH-000002,derivative:novegeo:sovereign:v002:standard:v001,,,0.25,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000001,3,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000001,NG-MAR-ANCH-000002,derivative:novegeo:sovereign:v002:standard:v001,,,0.5,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000001,4,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000001,NG-MAR-ANCH-000002,derivative:novegeo:sovereign:v002:standard:v001,,,0.75,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000001,5,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000001,NG-MAR-ANCH-000002,derivative:novegeo:sovereign:v002:standard:v001,polygon-02,6,1.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000002,1,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000003,NG-MAR-ANCH-000004,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,241,0.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000002,2,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000003,NG-MAR-ANCH-000004,derivative:novegeo:sovereign:v002:standard:v001,,,0.25,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000002,3,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000003,NG-MAR-ANCH-000004,derivative:novegeo:sovereign:v002:standard:v001,,,0.5,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000002,4,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000003,NG-MAR-ANCH-000004,derivative:novegeo:sovereign:v002:standard:v001,,,0.75,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000002,5,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000003,NG-MAR-ANCH-000004,derivative:novegeo:sovereign:v002:standard:v001,polygon-03,5,1.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000003,1,SOURCE_DERIVATIVE_ANCHOR,NG-MAR-ANCH-000005,NG-MAR-ANCH-000006,derivative:novegeo:sovereign:v002:standard:v001,polygon-01,146,0.0,direct source derivative vertex,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
NG-SEA-RT-CAND-000003,2,GEODESIC_INTERPOLATION_FROM_ANCHOR_PAIR,NG-MAR-ANCH-000005,NG-MAR-ANCH-000006,derivative:novegeo:sovereign:v002:standard:v001,,,0.25,pyproj.Geod WGS84 geodesic npts,data/novegeo/geography/world-boundary/derivatives/v002/novegeo_world_boundary_v002_standard.geojson,7aa728a7ea1cfc3440d0ac49f6bbc1db6afaaae3cc4cde116a54ea69d3f9f6e9
